City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches(last 3 hrs),Snow Inches(last 3 hrs)
52,Torbay,CA,2020-02-22 06:41:44,47.67,-52.73,14.0,72,5,11.41,clear sky,0.0,0.0
53,Rikitea,PF,2020-02-22 06:41:44,-23.12,-134.97,78.22,74,16,8.32,light rain,0.13,0.0
54,Butaritari,KI,2020-02-22 06:41:44,3.07,172.79,79.93,81,100,10.29,light rain,1.69,0.0
55,Jamestown,US,2020-02-22 06:39:37,42.1,-79.24,30.2,53,1,16.11,clear sky,0.0,0.0
56,Nikolskoye,RU,2020-02-22 06:41:45,59.7,30.79,37.99,74,75,17.9,broken clouds,0.0,0.0
57,Mataura,NZ,2020-02-22 06:41:45,-46.19,168.86,54.0,63,60,10.0,broken clouds,0.0,0.0
58,Airai,TL,2020-02-22 06:41:45,-8.93,125.41,76.21,85,100,2.77,moderate rain,4.81,0.0
59,Poum,NC,2020-02-22 06:41:45,-20.23,164.02,80.92,77,20,13.67,few clouds,0.0,0.0
60,Pevek,RU,2020-02-22 06:41:46,69.7,170.31,-9.08,98,100,13.04,light snow,0.0,0.25
61,Gimli,CA,2020-02-22 06:41:46,50.63,-96.99,26.01,82,42,8.01,scattered clouds,0.0,0.0
62,Mar Del Plata,AR,2020-02-22 06:38:38,-38.0,-57.56,57.0,81,75,4.7,broken clouds,0.0,0.0
63,Araouane,ML,2020-02-22 06:41:47,18.9,-3.53,74.08,12,100,7.58,overcast clouds,0.0,0.0
64,Cabo San Lucas,MX,2020-02-22 06:41:47,22.89,-109.91,69.01,64,100,10.58,overcast clouds,0.0,0.0
65,Cayenne,GF,2020-02-22 06:37:48,4.93,-52.33,75.2,94,73,1.12,light rain,0.38,0.0
66,Andenes,NO,2020-02-22 06:41:47,69.31,16.12,37.4,85,100,23.04,light rain,0.0,0.0
67,Busselton,AU,2020-02-22 06:41:41,-33.65,115.33,80.01,40,100,9.24,overcast clouds,0.0,0.0
68,Vila Franca Do Campo,PT,2020-02-22 06:41:48,37.72,-25.43,50.0,81,20,5.82,few clouds,0.0,0.0
69,Bambous Virieux,MU,2020-02-22 06:41:48,-20.34,57.76,82.99,58,20,5.82,few clouds,0.0,0.0
70,Pali,IN,2020-02-22 06:41:48,25.77,73.33,75.99,34,0,9.66,clear sky,0.0,0.0
71,Port Elizabeth,ZA,2020-02-22 06:41:48,-33.92,25.57,69.8,73,20,19.46,few clouds,0.0,0.0
72,Elko,US,2020-02-22 06:41:49,41.0,-115.5,34.0,58,1,3.36,clear sky,0.0,0.0
73,Qaanaaq,GL,2020-02-22 06:41:49,77.48,-69.36,-19.12,55,90,4.76,overcast clouds,0.0,0.0
74,Shache,CN,2020-02-22 06:41:49,38.42,77.24,46.29,28,7,3.6,clear sky,0.0,0.0
75,Ilulissat,GL,2020-02-22 06:41:35,69.22,-51.1,-5.8,53,100,4.7,overcast clouds,0.0,0.0
76,Avarua,CK,2020-02-22 06:41:49,-21.21,-159.78,82.4,83,2,9.17,light rain,0.31,0.0
77,Sibolga,ID,2020-02-22 06:39:38,1.74,98.78,90.54,46,0,5.79,clear sky,0.0,0.0
78,Tuktoyaktuk,CA,2020-02-22 06:41:50,69.45,-133.04,5.0,84,90,5.82,overcast clouds,0.0,0.0
79,Fort-Shevchenko,KZ,2020-02-22 06:38:09,44.51,50.26,38.19,62,0,9.24,clear sky,0.0,0.0
80,Asau,RO,2020-02-22 06:41:50,46.43,26.4,37.0,76,75,2.24,broken clouds,0.0,0.0
81,Ostrovnoy,RU,2020-02-22 06:41:50,68.05,39.51,32.52,86,94,29.1,overcast clouds,0.0,0.0
82,Dikson,RU,2020-02-22 06:41:51,73.51,80.55,11.73,91,100,22.32,overcast clouds,0.0,0.0
83,Avera,US,2020-02-22 06:41:51,33.19,-82.53,33.8,65,1,4.34,clear sky,0.0,0.0
84,Provideniya,RU,2020-02-22 06:41:51,64.38,-173.3,-16.55,99,91,2.48,overcast clouds,0.0,0.0
85,Mount Isa,AU,2020-02-22 06:40:19,-20.73,139.5,96.8,23,100,8.05,overcast clouds,0.0,0.0
86,New Norfolk,AU,2020-02-22 06:41:51,-42.78,147.06,72.0,49,11,17.22,few clouds,0.0,0.0
87,Dalby,AU,2020-02-22 06:41:52,-27.18,151.27,77.0,61,81,24.16,light rain,0.81,0.0
88,Tawagan,PH,2020-02-22 06:41:52,7.84,123.48,92.48,40,2,2.73,clear sky,0.0,0.0
89,Belmonte,BR,2020-02-22 06:41:52,-15.86,-38.88,78.8,83,75,4.7,broken clouds,0.0,0.0
90,Xinan,CN,2020-02-22 06:41:52,26.72,119.86,56.34,81,15,20.42,few clouds,0.0,0.0
91,Cabatuan,PH,2020-02-22 06:41:52,10.88,122.49,79.56,75,62,19.15,light rain,1.06,0.0
92,Port Lincoln,AU,2020-02-22 06:39:54,-34.73,135.87,69.73,55,1,10.36,clear sky,0.0,0.0
93,Kpandae,GH,2020-02-22 06:41:53,8.47,-0.01,74.7,73,2,3.69,clear sky,0.0,0.0
94,Sai Buri,TH,2020-02-22 06:41:53,6.7,101.62,86.0,66,20,11.41,few clouds,0.0,0.0
95,Irara,BR,2020-02-22 06:41:53,-12.05,-38.77,73.47,92,58,2.19,broken clouds,0.0,0.0
96,Katangli,RU,2020-02-22 06:41:54,51.71,143.23,23.31,81,53,3.44,broken clouds,0.0,0.0
97,Vostok,RU,2020-02-22 06:41:54,46.49,135.88,30.13,97,100,3.42,light snow,0.0,0.75
98,Aklavik,CA,2020-02-22 06:41:54,68.22,-135.01,-0.4,77,75,3.36,light snow,0.0,0.0
99,Bethel,US,2020-02-22 06:41:54,41.37,-73.41,32.0,42,1,5.82,clear sky,0.0,0.0
100,Hambantota,LK,2020-02-22 06:41:55,6.12,81.12,82.4,100,75,10.29,broken clouds,0.0,0.0
101,Georgetown,MY,2020-02-22 06:41:55,5.41,100.34,93.2,46,20,13.87,few clouds,0.0,0.0
102,Ust-Maya,RU,2020-02-22 06:41:55,60.42,134.53,8.64,91,100,2.08,light snow,0.0,0.12
103,Ascension,US,2020-02-22 06:41:55,30.22,-90.9,45.0,75,1,4.7,clear sky,0.0,0.0
104,Lufilufi,WS,2020-02-22 06:41:55,-13.87,-171.6,80.6,94,90,21.92,light intensity drizzle,0.0,0.0
105,Sao Joao Da Barra,BR,2020-02-22 06:37:47,-21.64,-41.05,75.7,90,49,11.48,light rain,0.81,0.0
106,Tacuati,PY,2020-02-22 06:41:56,-23.45,-56.58,68.18,42,20,7.96,few clouds,0.0,0.0
107,Bredasdorp,ZA,2020-02-22 06:41:56,-34.53,20.04,71.6,60,13,9.17,few clouds,0.0,0.0
108,Hasaki,JP,2020-02-22 06:41:56,35.73,140.83,64.4,55,75,19.46,broken clouds,0.0,0.0
109,Adrar,MR,2020-02-22 06:41:57,20.5,-10.07,70.7,14,100,13.02,overcast clouds,0.0,0.0
110,Kaele,CM,2020-02-22 06:41:57,10.11,14.45,73.4,20,0,9.17,clear sky,0.0,0.0
111,Broken Hill,AU,2020-02-22 06:41:57,-31.95,141.43,84.2,18,0,18.34,clear sky,0.0,0.0
112,Nicoya,CR,2020-02-22 06:41:57,10.15,-85.45,80.6,57,70,20.8,broken clouds,0.0,0.0
113,Victoria,HK,2020-02-22 06:41:57,22.29,114.16,81.0,53,20,8.05,few clouds,0.0,0.0
114,Libreville,GA,2020-02-22 06:40:05,0.39,9.45,78.8,100,20,4.7,few clouds,0.0,0.0
115,Ponta Do Sol,PT,2020-02-22 06:41:58,32.67,-17.1,64.0,77,40,9.17,scattered clouds,0.0,0.0
116,Jumla,NP,2020-02-22 06:41:58,29.27,82.18,39.99,79,0,4.0,clear sky,0.0,0.0
117,Alofi,NU,2020-02-22 06:41:58,-19.06,-169.92,80.6,88,75,9.17,broken clouds,0.0,0.0
118,Cervo,ES,2020-02-22 06:41:58,43.67,-7.41,46.0,1,0,3.24,clear sky,0.0,0.0
119,Narsaq,GL,2020-02-22 06:41:59,60.92,-46.05,19.4,44,31,3.36,scattered clouds,0.0,0.0
120,Kutum,SD,2020-02-22 06:41:59,14.2,24.67,60.08,18,83,4.29,broken clouds,0.0,0.0
121,Platteville,US,2020-02-22 06:41:59,42.73,-90.48,32.0,73,1,10.29,clear sky,0.0,0.0
122,Upernavik,GL,2020-02-22 06:41:59,72.79,-56.15,-17.0,96,94,1.07,overcast clouds,0.0,0.0
123,Tasiilaq,GL,2020-02-22 06:42:00,65.61,-37.64,17.6,61,66,2.24,broken clouds,0.0,0.0
