City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Puerto Ayora,EC,2020-02-18 04:50:15,-0.74,-90.35,77.29,83,16,5.44
70,Lebu,CL,2020-02-18 04:48:04,-37.62,-73.65,49.42,80,0,6.15
71,Victoria,HK,2020-02-18 04:48:06,22.29,114.16,64.99,27,0,13.87
72,Port Blair,IN,2020-02-18 04:50:15,11.67,92.75,79.59,66,22,10.25
73,Fairbanks,US,2020-02-18 04:50:16,64.84,-147.72,14.0,84,90,2.57
74,Atlantic Beach,US,2020-02-18 04:50:16,30.33,-81.4,60.01,87,90,4.7
75,Salalah,OM,2020-02-18 04:47:28,17.02,54.09,68.0,72,20,2.24
76,Sinnamary,GF,2020-02-18 04:50:16,5.38,-52.95,79.3,77,90,19.48
77,Narsaq,GL,2020-02-18 04:50:17,60.92,-46.05,12.2,47,99,6.93
78,Longyearbyen,SJ,2020-02-18 04:50:17,78.22,15.64,3.2,65,75,8.05
79,Komsomolskiy,UZ,2020-02-18 04:50:17,40.43,71.72,32.0,94,90,1.77
80,Trat,TH,2020-02-18 04:50:18,12.5,102.5,89.6,49,20,11.41
81,Cidreira,BR,2020-02-18 04:50:18,-30.18,-50.21,77.31,88,52,17.38
82,Mercedes,AR,2020-02-18 04:50:18,-34.65,-59.43,70.0,97,68,3.0
83,Larsnes,NO,2020-02-18 04:50:18,62.2,5.58,42.8,81,100,14.99
84,Mataura,NZ,2020-02-18 04:50:19,-46.19,168.86,61.0,87,99,8.01
85,Sembe,CG,2020-02-18 04:50:19,1.65,14.58,71.58,87,72,4.29
86,Tayu,ID,2020-02-18 04:50:19,-6.54,111.05,86.77,64,31,14.54
87,Bereda,ES,2020-02-18 04:50:19,43.27,-7.54,43.0,100,20,6.93
88,Namibe,AO,2020-02-18 04:50:19,-15.2,12.15,75.0,75,25,10.13
89,Qaanaaq,GL,2020-02-18 04:50:20,77.48,-69.36,-10.91,62,55,3.53
90,Chumikan,RU,2020-02-18 04:50:20,54.72,135.31,15.53,75,100,1.83
91,Grand Gaube,MU,2020-02-18 04:50:20,-20.01,57.66,82.0,88,40,8.05
92,Saint-Philippe,RE,2020-02-18 04:50:20,-21.36,55.77,80.6,78,90,18.34
93,Thompson,CA,2020-02-18 04:45:28,55.74,-97.86,-13.0,69,5,10.29
94,Norman Wells,CA,2020-02-18 04:50:21,65.28,-126.83,-16.6,75,20,4.7
95,Rajapolah,ID,2020-02-18 04:50:21,-7.22,108.19,81.09,70,47,3.53
96,Alenquer,BR,2020-02-18 04:50:21,-1.94,-54.74,78.8,88,20,4.7
97,Guiyang,CN,2020-02-18 04:47:31,26.58,106.72,50.0,46,75,11.18
98,Fukue,JP,2020-02-18 04:50:22,32.69,128.84,44.6,65,75,16.11
99,Port Elizabeth,ZA,2020-02-18 04:45:39,-33.92,25.57,66.2,82,90,9.17
100,Acapulco,MX,2020-02-18 04:47:02,16.86,-99.89,80.6,83,20,4.7
101,Srednekolymsk,RU,2020-02-18 04:50:22,67.45,153.68,-7.87,97,91,6.91
102,East London,ZA,2020-02-18 04:50:22,-33.02,27.91,69.8,83,20,3.36
103,Pacific Grove,US,2020-02-18 04:48:26,36.62,-121.92,55.0,66,1,5.82
104,Corinto,GR,2020-02-18 04:50:23,37.94,22.96,46.99,86,20,1.45
105,Bambous Virieux,MU,2020-02-18 04:50:23,-20.34,57.76,82.0,88,40,8.05
106,Butaritari,KI,2020-02-18 04:50:23,3.07,172.79,83.79,81,39,11.1
107,Bagtic,PH,2020-02-18 04:50:23,9.69,123.01,84.2,70,75,11.41
108,Honiara,SB,2020-02-18 04:47:42,-9.43,159.95,95.0,50,40,16.11
109,Karasjok,NO,2020-02-18 04:50:24,69.47,25.51,30.2,100,89,16.11
110,Lorengau,PG,2020-02-18 04:50:24,-2.02,147.27,82.29,82,98,16.98
111,Mmabatho,ZA,2020-02-18 04:50:24,-25.85,25.63,69.8,68,20,5.82
112,Sakakah,SA,2020-02-18 04:50:25,29.97,40.21,44.6,81,0,5.82
113,Anadyr,RU,2020-02-18 04:50:25,64.75,177.48,-16.01,75,100,13.42
114,Torbay,CA,2020-02-18 04:50:25,47.67,-52.73,28.99,92,90,13.87
115,Ilulissat,GL,2020-02-18 04:50:26,69.22,-51.1,8.6,65,91,10.29
116,Saskylakh,RU,2020-02-18 04:50:26,71.92,114.08,4.15,89,100,5.21
117,Chokwe,MZ,2020-02-18 04:50:26,-24.53,32.98,81.3,76,7,7.67
118,Barcelos,PT,2020-02-18 04:47:04,41.54,-8.62,42.01,93,0,5.82
119,Airai,TL,2020-02-18 04:50:27,-8.93,125.41,80.2,69,41,4.9
120,Bata,GQ,2020-02-18 04:50:27,1.86,9.77,74.7,92,99,2.46
121,Tuktoyaktuk,CA,2020-02-18 04:50:27,69.45,-133.04,-25.6,67,5,8.05
122,Mocuba,MZ,2020-02-18 04:50:27,-16.84,36.99,81.01,82,19,1.52
123,Ellisras,ZA,2020-02-18 04:50:28,-23.66,27.74,77.22,65,88,16.06
124,Ramygala,LT,2020-02-18 04:50:28,55.52,24.3,37.4,74,3,8.05
125,Revelganj,IN,2020-02-18 04:50:28,25.78,84.67,68.0,72,0,8.05
126,Riyadh,SA,2020-02-18 04:49:37,24.69,46.72,60.8,25,40,4.7
127,Coihaique,CL,2020-02-18 04:48:03,-45.58,-72.07,53.6,58,90,5.82
128,Ambon,ID,2020-02-18 04:50:29,-3.7,128.18,91.4,55,40,8.05
129,Lahat,ID,2020-02-18 04:50:29,-3.8,103.53,80.96,68,92,4.54
130,Ribeira Brava,PT,2020-02-18 04:50:29,32.65,-17.07,62.6,88,75,16.11
131,Maragogi,BR,2020-02-18 04:50:29,-9.01,-35.22,82.09,78,41,14.63
132,Cayenne,GF,2020-02-18 04:50:29,4.93,-52.33,78.8,83,75,10.29
133,Hay River,CA,2020-02-18 04:50:30,60.82,-115.8,-23.8,74,20,5.75
134,Marsaxlokk,MT,2020-02-18 04:50:30,35.84,14.54,54.0,87,20,6.93
135,Chokurdakh,RU,2020-02-18 04:50:30,70.63,147.92,-7.67,99,97,3.98
136,Langsa,ID,2020-02-18 04:50:30,4.47,97.97,80.28,76,93,4.38
137,Ponta Do Sol,PT,2020-02-18 04:50:31,32.67,-17.1,62.6,88,75,16.11
138,Marystown,CA,2020-02-18 04:50:31,47.17,-55.15,29.07,87,36,18.3
139,Alice Springs,AU,2020-02-18 04:50:07,-23.7,133.88,96.8,13,0,14.99
140,Ostrovnoy,RU,2020-02-18 04:50:31,68.05,39.51,27.68,82,95,27.04
141,Vila Velha,BR,2020-02-18 04:50:32,-20.33,-40.29,78.8,88,20,4.7
142,Champerico,GT,2020-02-18 04:50:32,14.3,-91.92,73.98,73,0,1.16
143,Angola,AO,2020-02-18 04:50:32,-12.5,18.5,63.03,95,33,3.24
144,Kaeo,NZ,2020-02-18 04:50:04,-35.1,173.78,73.99,75,37,5.01
145,Khvoynaya,RU,2020-02-18 04:50:32,58.9,34.53,36.18,86,94,14.52
146,Mayya,RU,2020-02-18 04:50:33,61.73,130.28,-14.8,75,98,2.86
147,Dmytrivka,UA,2020-02-18 04:50:33,45.97,28.99,38.59,83,15,14.79
148,Tura,IN,2020-02-18 04:50:33,25.52,90.22,82.54,32,0,5.08
149,Iqaluit,CA,2020-02-18 04:50:33,63.75,-68.51,-29.0,66,20,5.82
150,Sabang,ID,2020-02-18 04:50:33,5.89,95.32,83.08,75,17,14.34
151,Varhaug,NO,2020-02-18 04:50:34,58.61,5.65,44.6,81,75,18.34
152,Dunmore East,IE,2020-02-18 04:50:34,52.15,-6.99,43.0,84,73,7.0
153,Marrakesh,MA,2020-02-18 04:50:34,31.63,-8.01,51.8,66,0,4.7
154,Saint-Louis,SN,2020-02-18 04:50:34,16.33,-15.0,77.47,9,100,13.13
155,Severo-Kurilsk,RU,2020-02-18 04:50:34,50.68,156.12,14.49,84,100,4.12
156,Grootfontein,NA,2020-02-18 04:50:35,-19.57,18.12,67.6,84,67,3.04
157,Swan River,CA,2020-02-18 04:50:35,52.11,-101.27,-7.87,89,100,8.03
158,Jiazi,CN,2020-02-18 04:50:35,22.88,116.07,63.48,39,0,9.71
159,Kano,NG,2020-02-18 04:49:16,12.0,8.52,60.8,44,67,7.2
160,Constitucion,CL,2020-02-18 04:50:35,-35.33,-72.42,57.38,56,0,8.93
161,Ozinki,RU,2020-02-18 04:50:36,51.18,49.68,29.37,93,100,19.95
162,Carnarvon,AU,2020-02-18 04:50:36,-24.87,113.63,84.2,74,78,11.41
163,Rawson,AR,2020-02-18 04:49:50,-43.3,-65.1,60.33,57,0,17.02
164,Zyryanskoye,RU,2020-02-18 04:50:36,56.83,86.63,21.45,88,93,8.88
165,Izumo,JP,2020-02-18 04:50:37,35.37,132.77,41.0,60,75,11.41
166,Bredasdorp,ZA,2020-02-18 04:50:37,-34.53,20.04,66.99,88,23,2.24
167,Severo-Yeniseyskiy,RU,2020-02-18 04:47:44,60.37,93.04,19.4,89,100,6.17
168,Zhangjiakou,CN,2020-02-18 04:50:37,40.81,114.88,26.98,61,97,2.91
169,Santa Isabel Do Rio Negro,BR,2020-02-18 04:50:38,-0.41,-65.02,74.17,98,28,0.6
170,Dikson,RU,2020-02-18 04:50:38,73.51,80.55,9.61,84,100,34.76
171,Statesville,US,2020-02-18 04:50:38,35.78,-80.89,52.0,75,40,2.42
