City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
423,Abu Samrah,SY,50.27,35.3,37.18,scattered clouds,
425,Los Llanos De Aridane,ES,60.8,28.66,-17.92,overcast clouds,Valle Aridane
429,Ismailia,EG,51.8,30.6,32.27,broken clouds,Mercure Ismailia Forsan Island Hotel
431,Nago,JP,73.4,26.59,127.98,overcast clouds,Hotel Yugaf Inn Okinawa
433,Faro,PT,55.99,37.02,-7.93,clear sky,Hotel Faro & Beach Club
434,Touros,BR,77.0,-5.2,-35.46,shower rain,INN NEW HORIZON
436,Henties Bay,,64.0,-22.12,14.28,broken clouds,Fishermans Guest House
437,Mpongwe,ZM,69.58,-13.51,28.16,scattered clouds,GCMF Office & Lodge
439,Poros,GR,48.99,37.5,23.45,broken clouds,New Aegli Resort Hotel 4 stars
441,Cartagena,CO,78.8,10.4,-75.51,scattered clouds,Costa Del Sol
443,Anahuac,MX,50.65,27.23,-100.15,broken clouds,Rancho Guadalupe
444,Cabedelo,BR,78.8,-6.98,-34.83,scattered clouds,Lua Mansa Pousada
445,Geraldton,AU,82.4,-28.77,114.6,broken clouds,Broadwater Mariner Resort
446,Ludvika,SE,44.01,60.15,15.19,light rain,Ludvika Stadshotell
447,Chuy,UY,59.47,-33.7,-53.46,scattered clouds,Nuevo Hotel Plaza
452,Jiuquan,CN,40.15,39.74,98.52,clear sky,Jiuquan Hotel
453,Jalu,LY,50.07,29.03,21.55,clear sky,Jalu Hotel
454,Nazareno,MX,51.01,25.38,-103.42,broken clouds,Palmas Suite
455,Winneba,GH,82.4,5.35,-0.62,few clouds,Windy Lodge Beach Resort
457,Katsina,NG,65.44,12.99,7.6,clear sky,Katsina Motel
458,Ahipara,NZ,72.0,-35.17,173.17,overcast clouds,Ahipara Holiday Park
460,Sao Gabriel Da Cachoeira,BR,76.03,-0.13,-67.09,overcast clouds,Alarne - Área De Lazer Do Alto Rio Negro
461,Durres,AL,42.8,41.32,19.44,clear sky,Palace Hotel & Spa Durres
462,Houma,US,46.4,29.6,-90.72,clear sky,Courtyard by Marriott Houma
466,Taoudenni,ML,68.11,22.68,-3.98,clear sky,
470,Cordoba,AR,60.01,-31.41,-64.18,few clouds,Sheraton Cordoba Hotel
473,Djougou,BJ,78.8,9.71,1.67,few clouds,Hotel La fidelité
475,Odweyne,SO,73.65,9.41,45.06,few clouds,Eng Hiirey House
477,Tessalit,ML,67.96,20.2,1.01,broken clouds,
478,Mecca,SA,70.07,21.43,39.83,few clouds,Hotel Fairmont Makkah Clock Royal Tower
481,Namatanai,PG,85.08,-3.67,152.43,clear sky,Namatanai Hotel
484,Bandarbeyla,SO,77.29,9.49,50.81,few clouds,REER XOOSHLE GROUP
485,Den Helder,NL,46.99,52.96,4.76,mist,Hotel Den Helder
486,Muisne,EC,77.81,0.6,-80.03,overcast clouds,Quinta Samay
487,Lubango,AO,68.0,-14.92,13.49,broken clouds,Hotel Serra da Chela
488,Cuamba,MZ,76.73,-14.8,36.54,scattered clouds,Hotel Vision
489,Tiznit,MA,57.2,29.58,-9.5,clear sky,
490,San Quintin,MX,61.36,30.48,-115.95,overcast clouds,Old Mill Hotel
492,Erzin,TR,52.0,36.96,36.2,broken clouds,Artemis Otel
494,Santa Rosa,PH,89.6,14.31,121.11,few clouds,Sta Rosa Budget Room
498,Pisco,PE,73.4,-13.7,-76.22,few clouds,Hostal San Isidro Oficial
501,Mwingi,KE,74.08,-0.93,38.06,broken clouds,Thorn Tree by The Address
504,Gelemso,ET,74.16,8.82,40.52,clear sky,Kerod Hotel
505,Nelson Bay,AU,75.0,-32.72,152.15,broken clouds,Mantra Nelson Bay
508,Te Anau,NZ,53.92,-45.42,167.72,few clouds,Kingsgate Hotel Te Anau
509,Auki,SB,85.08,-8.77,160.7,scattered clouds,Auki Motel
510,Beihai,CN,67.51,21.48,109.1,clear sky,21 Degree Hostel
511,Tocopilla,CL,59.36,-22.09,-70.2,broken clouds,Hotel Galvarino
516,Ghanzi,BW,73.67,-21.57,21.78,broken clouds,Ghanzi Farmhouse
517,Puerto Lleras,CO,77.68,3.02,-73.4,overcast clouds,
519,Wajima,JP,48.2,37.4,136.9,light intensity shower rain,Wajiima Onsen Yashio
521,Kamina,CD,72.84,-8.74,24.99,overcast clouds,Guest House la Grace
522,Ibicarai,BR,78.8,-14.87,-39.59,light rain,OYO Pousada E Restaurante Lá Em Casa
523,Namibe,AO,75.15,-15.2,12.15,broken clouds,Chik-Chik Namibe
524,Port Macquarie,AU,71.01,-31.43,152.92,light rain,Rydges Port Macquarie
525,Spydeberg,NO,45.0,59.62,11.09,moderate rain,Romsåsen gruveopplevelser
528,Harper,LR,76.57,4.38,-7.72,overcast clouds,Cape View Guest House
529,Ixtapa,MX,75.0,20.7,-105.2,scattered clouds,Container Inn Puerto Vallarta
531,Miandrivazo,MG,80.89,-19.52,45.47,overcast clouds,Hôtel Arc En Ciel Miandrivazo
533,Tolaga Bay,NZ,72.64,-38.37,178.3,scattered clouds,Tolaga Bay Motel
534,Buta,CD,76.24,2.79,24.73,overcast clouds,HOTEL BISO NA BISO
536,Marsa Matruh,EG,57.2,31.35,27.25,broken clouds,Beau Site
538,Umm Lajj,SA,65.95,25.02,37.27,few clouds,Tanal Hotel Apartment
541,Xinzhi,CN,41.2,36.5,111.7,clear sky,Mingyue Hotel
542,Hurghada,EG,60.8,27.26,33.81,clear sky,Sea Star Beau Rivage Hotel
543,Santa Catarina De Tepehuanes,MX,51.85,25.35,-105.73,broken clouds,hotel plaza
547,Ondangwa,,78.8,-17.92,15.95,scattered clouds,Protea Hotel by Marriott Ondangwa
548,Kathu,TH,86.0,7.92,98.33,light rain,Novotel Phuket Resort
551,Dallas,US,44.6,32.77,-96.78,broken clouds,Hotel Indigo Dallas Downtown
552,Roald,NO,42.01,62.58,6.13,scattered clouds,Flem Cabins
553,Kidal,ML,67.24,18.44,1.41,broken clouds,
554,Kushima,JP,66.2,31.46,131.23,few clouds,民泊 花おか
556,Maxixe,MZ,80.6,-23.86,35.35,drizzle,Oceano
557,San Juan,AR,66.7,-31.54,-68.54,broken clouds,Hotel Provincial
561,Bumba,CD,76.26,2.18,22.47,overcast clouds,Hôtel Cape Town
